Frame,Knee_Angle,Hip_Angle
0,1.7290095397819698,1.5658813024306824
1,3.028683944334631,0.20614620804767014
2,3.3828876529615286,0.7742486249155434
3,3.730808695970552,1.0738312529032044
4,3.8822711275398376,1.2376102268711975
5,3.994462865155697,1.3965500891811757
6,4.0321140018142785,1.4076988463785653
7,4.035978532497097,1.4533623974342618
8,4.008193053327204,1.4250143274756226
9,3.9294771507682924,1.3218206446661895
10,3.9137136547450098,1.3341393666013062
11,3.8271761767336727,1.3279289136581554
12,3.796334313338207,1.2666763212738203
13,3.766154749870026,1.2945805489220845
14,3.7606189176414944,1.2981941220559179
15,3.7506139903209146,1.2942435068441398
16,3.68631469711147,1.2571397562395248
17,3.755375089806904,1.3385585546173502
18,3.671907425570083,1.2544787321602087
19,3.6099671420991513,1.1294688346270902
20,3.5407399775349973,1.036350607433718
21,3.430061036334422,0.8368214911909035
22,3.425509849223573,0.812438240598027
23,3.4046576936561905,0.8419305969514141
24,3.4290839097457138,0.910067005625649
25,3.4491275069893277,0.9514115098372997
26,3.5458441938059764,1.219314580132675
27,3.536149086684958,1.2491115756513693
28,3.5976024329414145,1.3923180907529797
29,3.604597688174266,1.4058316593738311
30,3.581639072382046,1.4415736451867076
31,3.585104734398641,1.461955370492774
32,3.5396911660226635,1.424379194693671
33,3.5229056661595166,1.4146084477647491
34,3.519606885748317,1.425977365238964
35,3.417372238469767,1.3044674746477085
36,3.40238870468977,1.303610717373374
37,3.367003358562954,1.277165709791774
38,3.360289967871921,1.2836186941659662
39,3.3747104637368466,1.2732287132811848
40,3.2524574872865912,1.2265638574816364
41,3.2290512136252687,1.2421742074598967
42,3.2377752322814217,1.2458574284170538
43,3.182974539004846,1.070880416343158
44,3.178546684687859,1.0609731604488104
45,3.1308463395360207,1.0193903694409983
46,3.1261795456811114,1.0316853678475582
47,3.118240491376014,1.0704785075847099
48,3.108002218734157,1.0572193576227562
49,3.1147546419753667,1.149983968615686
50,3.1315170660142826,1.2482386533735337
51,3.1102566613172655,1.2927471888033892
52,3.10530754892622,1.276893451581401
53,3.0252975844821606,1.1896651551406592
54,2.981125477322678,1.1535980978007956
55,2.829098464894116,0.9779467521338745
56,2.807947955533905,0.9744542158567242
57,2.8143729180106334,0.9542711341334496
58,2.8276949464304266,0.9861945787419302
59,2.8976604450631953,1.058818130437885
60,2.899748453491185,1.0495652521815657
61,2.80874422797109,0.8613414326195823
62,2.8270161270756944,0.851517512433503
63,2.837519445505478,0.7964425635359191
64,2.838036250900899,0.7558339241523413
65,2.87600653486345,0.8083162943262607
66,2.8785825710700976,0.8091640661184272
67,2.8851825287916597,0.815586571506401
68,2.904414957686157,0.8387839667182959
69,2.8631773703656336,0.7613105472684367
70,2.8896503122272748,0.7593317696885435
71,2.898248073017612,0.8084745781092408
72,2.9001203312749624,0.8017900799237623
73,2.9514985362112327,0.8394001415552452
74,2.9378247148881655,0.7363532591202215
75,2.929193694328802,0.7495325689036179
76,2.902251768580868,0.734916115649753
77,2.8421458935818293,0.5465352685415041
78,2.8252341499275246,0.5095363586181634
79,2.757953754470009,0.3412575431803475
80,2.6557959794605495,0.3248545385321222
81,2.653914765532221,0.3127750952330075
82,2.655459289708375,0.35643200368298267
83,2.644374732331613,0.3528322419824974
84,2.638339974396274,0.408991397221655
85,2.5940210372142474,0.40601978408332684
86,2.4722847251650535,0.2652295063915915
87,2.4014458770107865,0.150525421450169
88,2.465357651556019,0.28862970282293077
89,2.4948098464262216,0.3174365811564428
90,2.5897023158339607,0.45717305094353833
91,2.5671486427978323,0.45120490010421577
92,2.545319170898381,0.46436008374990934
93,2.432175331244224,0.21429492750928603
94,2.4481429886703836,0.2275929334815885
95,2.5151146218738347,0.2859728054432935
96,2.492109095528292,0.2362153142582315
97,2.5133449390808664,0.2595652187455926
98,2.4435330467436813,0.214475066720496
99,2.450270561236607,0.2727186869412037
100,2.4814868636203187,0.3356751199695225
101,2.4913978273012276,0.3307946458170079
102,2.493859037393918,0.32981796386300744
103,2.448405768344287,0.36257880704204126
104,2.33257121714675,0.2708161063337968
105,2.256661725991762,0.2273595462610274
106,2.3027087039294543,0.3184651861116663
107,2.2972630728634726,0.32888616453828945
108,2.323396575151577,0.4121569608776383
109,2.314607469093147,0.43867310423635786
110,2.2816673736306257,0.4099761854986639
111,2.2881321625973783,0.4433099367489888
112,2.3144380679566723,0.5050145608438186
113,2.301074501327321,0.48396304236024434
114,2.2769527932252913,0.43182542684965597
115,2.3284041179516066,0.5958144416982805
116,2.328047003549784,0.6151184996095083
117,2.4222754667653703,0.7621138842422965
118,2.3705050254133653,0.7462157099567719
119,2.278922171027574,0.6542203786731307
120,2.1526787409181054,0.5320930329124565
121,2.137153593111094,0.5449286111704623
122,2.1028438139098284,0.5330511964823756
123,1.9140562309368363,0.38075702442310444
124,1.8059367359465455,0.3033110652956452
125,1.806178099442576,0.3057963529502672
126,1.6687737603059816,0.22917474009355487
127,1.6671294851940388,0.16761008610080808
128,1.6033083546344926,0.05785010726273754
129,1.5768325445181972,0.015829548810131655
130,1.5469523827826208,0.009710967724430475
131,1.3576611076813094,0.1605122245893824
132,1.198613062076447,0.21169637965726906
133,1.046320671926111,0.22950076221493987
134,0.9428387162891738,0.2967263559314688
135,0.903483080178745,0.3018524617992284
136,0.8464737676275718,0.369192362899895
137,0.8407716225264892,0.4162931470949047
